,problem,Link,comments,Category,Title,Statement,Comments,Label_Updated,New_Label,
50,Am I having an asthma attack?,/forums/discuss/am-i-having-an-asthma-attack--339718,7,Asthma,Am I having an asthma attack?,"Please don't judge me but I have been diagnosed with having asthma and anxiety.
At the moment I feel like I can't fully exhale, my chest feels right and it's like my throat is closing up.
I haven't taken my asthma pumps but should I?

How do I know if I'm having an asthma attack?
I'm really scared.

What are the symptoms of an attack? I'm scared to google.

Thanks to anyone who replies x",Nobody is going to judge you here tinytitch.i think you need to use your inhalers asap and if you don't get any relief get yourself to A&E. Remember asthma can be very serious. Don't wait!,positive,positive,
54,Asthma,/forums/discuss/asthma-38156,9,Asthma,Asthma,"Hello, my name is Gracie and I am 9 yearold. I have joined this forum because I have had asthma for my whole life and have to spend a lot of the time in hospital so the doctors can help me breathe abit easier. When I am we'll enough I go to school. I have special masks to wear when I am not on the machines in hospital otherwise breathing is very hard for me. I also have to take a lot of medicine at school and have to lay down in class for some of the time or i get too tired. I have a helper and he is very kind but alot of the other children laugh at me when I am having trouble breathing and wearing my equipment. Without it I would have to be in hospital even more but they don't have asthma so they don't understand. Is it like this for everyone or how can I make them realise that i have asthma and need my treatment and medicine? I do not like being ill but I can't help it :(
","Hey Gracie,

I'm Kirsty and I'm 21 and it sounds like your asthma is very bad, like mine. I'm sorry that the other children at school are not very nice to you, its not your fault at all and you shouldn't have to listen to them.

I think you should talk to your doctors when you go to your appointments at the hospital and ask them if they can suggest someone that can help you to cope with the way the other children treat you. Having very bad asthma can be really scary and make you feel very alone, doctors know this so you should be honest with them and tell them how you feel

It might be that they can figure out a different mask for you to wear at school. What does the mask do? Or what is it called? There's sooooo many different types and some look nicer than others! 

If there is anything I can help with, just ask. Chin up sweetie, it won't always be this hard x

",positive,positive,
62,I am SO open to some HONEST KIND thoughts!,/forums/discuss/i-am-so-open-to-some-honest-kind-thoughts--519277,6,Asthma,I am SO open to some HONEST KIND thoughts!," I&#39;m feel like things are trying to spiral out of control on me!    I went to bed one night in Feb 2000 and was so far as I knew healthy. I woke up the next morning short of breath. It&#39;s been a downhill slide from there! Here I am 16 1/2 yrs later. I&#39;m on 6L of oxygen at rest and 8-10L on exertion. Not only can NO ONE figure out what&#39;s wrong with me, but they don&#39;t even know why I need the oxygen. In all the years, there have been over 30 hospitalizations with multiple intubations after I&#39;ve gone into respiratory failure and I have been told on as many as 3 occasions that I ALMOST died! AND YET . . . &#160;EVERY SINGLE TIME I have to go through a psychiatric evaluation to determine to SOMEONE&#39;S satisfaction that there is no psychosomatic componant. EVERY TIME! They always tell ME that I&#39;m fine that it&#39;s not psychosomatic, and yet no one will let it go! It&#39;s truly putting my health at risk. I don&#39;t suffer from anxiety, I have no fear of dying. I&#39;m in the hospital for God sake. That&#39;s the best place to be to be taken care of. I may be physically MISERABLE, but they&#39;ll do what they can to take care of me. So I try not to focus on not being able to breath and have developed excellent coping skills to attempt to stave off the normal anxiety. I almost NEVER feel anxious. At least not because of my breathing. I do get a liitle worried when I feel like I&#39;m not being taken seriously though and I&#39;m concerned about the additional health problems that may be being added to my current problems from the stress my body suffers from not being properly treated at times.    Perfect example is what I&#39;ve just been through. I hadn&#39;t been feeling well, like at my base line. So I checked with my doctors schedule to see what his upcoming availability was like. That was June 6th. He had ONE appt on Tues. the 7th and then NOTHING for two weeks. That meant he was most likely going to be out of town and if I did have a problem and have to go to the hospital, there would be NO ONE around that knew me. Where ever I went they&#39;d call his practice which is quite large and get whomever was on call to look into my records and the wouldn&#39;t find anything helpful because, well, NO ONE can figure out what&#39;s going on! So I decided I&#39;d better take the appt with him the next morning the 7th. I drove the hour to his office and got 5 min out I drove through and area where I could smell fresh cut grass. I knew in SECONDS that I was in trouble. Normally it doesn&#39;t bother me. But if I&#39;m below my baseline functioning everything seems to bother me. My airway becomes very twichy. I got to his office, and within 45 min I was in an ambulance going to the ED. I spent 2 hours in the ED and was then admitted in CRITICAL CONDITION to the Medical ICU. Within 30 min I was intubated due to respiratoty failure. I spent two days on the ventilator while my body tried to reset itself. On Sunday the 12th I was transferred to the regular floor, where on Monday I had another flair up. It was totally predictable. But there were some issues, and as a result I didn&#39;t get the treatment that I should have when I should have. I was supposed to have an inhaler to use, but it hadn&#39;t come up from the pharmacy, by the time I got it I was unable to use it. By the time I got a nebulizer it had been an hour without treatment.&#160;I went unresponsive so they called the rapid response team, a highly trained specialized group of doctors, nurses, respiratory thearapists etc that respond to emergent situations through out the hospital as needed. By then it had been almost two hours since it had started. IN TWO HOURS NO ONE PICKED UP A STETHASCOPE TO LISTEN TO MY LUNGS!!! NO ONE! When rapid response got there, they listened and said I was moving almost NO AIR . But I was moving JUST ENOUGH to have the gas exchange happen which aloud my body to keep my O2 sats above 90%, the acceptable range. Never mind that my VERY normal blood pressure of 90/60 SORED to 206/77 because I was working so hard to breath! But NO! I don&#39;t have a problem!!!! I test NEGATIVE FOR EVERYTHING!!! I might have MILD asthma, but supposedly NOTHING that would cause me this much trouble! I have been tested for SO MANY THINGS!!! Always, NEGATIVE, NEGATIVE, NEGATIVE!!! I was sent home on June 15th. I&#39;m still so far from baseline that I can&#39;t even bathe myself yet! It&#39;s really to the point where it&#39;s ridiculious!    I can&#39;t stand it anymore. Part of me, and PLEASE DO NOT READ INTO THIS WHAT IS NOT THERE!!!, but part of me almost wishes that I would just die from it and we&#39;d all be done with it. But THAT&#39;S NOT what I WANT! But the stress on my body is really beginning to take it&#39;s toll. My family is just beside themselves with concern and not knowing what to think.&#160;    AlLL I want is to be given palluatuve care!  &#160;We often only think of palliative care as being for the dying. But that&#39;s not true. Not anymore. I have a chronic illness of some kind. I DO NOT CARE IF THEY GIVE ME A DIAGNOSIS! &#160;I just don&#39;t. All I want them to do is when I show up keep me as comfortable and safe and they can in order to assist me to returning back to my baseline as possible and help me maintain as high a standard as living as I can. THEY DON&#39;T HAVE TO FIX IT!!! BECAUSE THEY CAN&#39;T! If something new crops up, like the acute eposodic heart failure that I&#39;ve had. Treat it. Fine. But I&#39;m so sick of because a doctor isn&#39;t taught to be comfortable with saying &quot;I don&#39;t KNOW!&quot; Then its ME that there must be some HIDDEN SECRET problem with or something! I&#39;m beginning to FEEL like I SOUND psychotic when I talk to them about it! They asked me in the ED if I wanted to be intubated. IT&#39;S A &#160;SIMPLE QUESTION! ONE I WAS AFRAID TO ANSWER BECAUSE I WAS AFRAID IT WAS A TRICK QUESTION! I WAS IN FREAKING RESPIRATORY FAILURE!!! ARE YOU KIDDING ME!?!?! WHAT THE HELL IS WRONG WITH ME!?!? I feel like they are CREATING a psych problem, or that they certainly will if they don&#39;t leave me the hell alone with this crap.    PLEASE!?!? Tell me I&#39;m not sounding as off the wall as I feel like I do! I&#39;m feeling like I&#39;m FAST running out of rope!&#160;    Feel FREE to ask what ever questions you want! Please be honest with me and give me your thoughts. I don&#39;t have to like them! I just want to know what other people think about this! Just be kind, gentle, and loving in your approach, because I&#39;m REALLY feeling like I&#39;ve just been beaten by the local mob! I really just don&#39;t know how much more of this that I can take. I have done EVERYTHING that has been asked of me. I am a VERY compliant patient. I don&#39;t doctor hop looking for someone to tell me what I WANT to hear! I would LOVE to be well! I would LOVE to join the human race again! I just someone to take me seriously and believe me without having that DAMNED QUESTION MARK hanging off the side of their head!    Please guys. Something. ANYTHING! ",Wow you have gone through the ringer...I am so confused how can you have a o2 level at 90 0/0 . I have asthma and my o2 is like 91. So sorry you have gone thru this. There has to be a answer to what is going on. I have a g/for who had surgery but the surgeon put something in her he shouldn&#39;t and she is going thru similar problems.  She has been in and out of the hospital for collapsed lungs etc.you might look into that,negative,neutral,
66,Shortness of Breath / Tight Chest,/forums/discuss/shortness-of-breath-tight-chest-36242,6,Asthma,Shortness of Breath / Tight Chest,"Hi -

Apologies for the long message in advance but I would really appreciate any advice or help.

I am a 36 year old male - diagnosed with asthma since childhood. Been using Seretide for a few years now and my asthma has been well under control  with no recent attacks and I attended yearly reviews.

However,   In January this year I became breathless very suddenly and was eventually diagnosed with a chest infection. The shortness of breath and tightness in my chest has never gone although the chest infection cleared with erythomycin

The odd thing is my peak flow is consistently between 650 and 800 which is supposedly good and I don't have to use my Ventolin more than once a day if at all. My spirometry test was normal  in fact excellent and showed my lung age to be 10 years younger than I am. I have had 2 chest xrays - both clear. My GP has tried treatment for anxiety, GERD and candida but this has not worked. I had a barium swallow test today for hiatus hernia but this was negative.

I am really getting frustrated now - is it possible to have asthma but have normal spirometry and feel like this? I don't have a wheeze or cough and I am not producing sputum. It is just this continual tightness in the chest and shortness of breath. I continue to take Seretide. My doctors surgery are covinced there is no serious lung disease and are not keen on referring me to a chest physician but I am getting very scared now.

Has anyone have any idea what this may be or what I should do next. Up until Jan 2012 I have been perfectly healthy? Any help greatly appreciated.","Hi I can only think of hatha yoga, learning to breath properly, meditation, relaxation.

I have had severe asthma for over 10 years and never had an attack. I have done a lot of yoga however and sometimes I meditate.

I have a few other diseases too, so look after yourself and do as much alternative treatment as you can. 

Positive attitude always helps

I respond really well to accupuncture. Luckily I have a low cost alternative health clininc in Sheffield.

Good luck and take care ",positive,positive,
70,i have asthma but never really had a attack,/forums/discuss/i-have-asthma-but-never-really-had-a-attack-338138,3,Asthma,i have asthma but never really had a attack,"hey i suffer from anxiety so everytime i feel i cant breathe i take my asthma inhaler but i dont know if this is asthma attacks or not i woke up and i felt i could not take a full breathe properly i took my inhaler 3 times before bed because i had the same sensation before going to sleep i felt phelm was stuck but i could not get it out as i have not got a powerful cough to get it out .
i woke up with a slight wheeze this morning so i took my inhaler twice and it helped get abit of phelm up and the wheeze went away but im left with the feeling of a wheeze without one ?
also my throat feels like im been strangled where my adams apple would be if i was a man .
i get a thump thump kinda feeling that effects my breathing like something is constricting and letting go down my throat i have also woken with white dry lips which i have never suffered with dry lips until recently and this is when my breathing has not been that good i have not had a asthma check for a long time and last time i went they gave me the brown and blue inhaler but i have only been taking the blue as i ran out of brown years ago .
does this sound like ashtma or not ?
thankyou ","Hello Stephx, you seem to be playing a dangerous game, inhalers are not toys so I really am telling you to ge to the doctors before you cause more damge to your body . . . . good luck. ",negative,neutral,
75,"                    I wonder if I have a milde type of ""silent"" asthma?                ",/forums/discuss/i-wonder-if-i-have-a-milde-type-of-silent-asthma--597497,6,Asthma,"I wonder if I have a milde type of ""silent"" asthma?"," I know some of you are going to hate my peak flow scores :-) but I need to post since I need some help. &#160;I peak out around 810 when I&#39;m 100% clear and the stars align, despite being in late 40s. &#160;Average for my height/weight/age is 620. &#160;I have history of endurance sports and still in reasonable shape so one doc explained it that way.    After a re-flair up and some meds I&#39;ve been clear for a few weeks (no Ventolin needed). &#160;However I noticed my peak scores drifting into the low 700s this week so I got curious. &#160;I also noticed a slight clearing cough in the morning like I had a little mucus in my very upper chest, but it&#39;s extremely minor and rare. &#160;    So today I came in at 730, on the low end of what I&#39;ve seen last 2 weeks. I blew about 5 tries to make sure I couldn&#39;t get higher then took two puffs Ventolin, waited 15 minutes, and voila I blew 770 without much trouble. &#160;So that is 5%. &#160;But other than that peak score no other symptoms, however my nose was going off and my chest had a very slight &quot;oppressive&quot; feel but no specific tightness.    FYI when I get asthma properly I will wheeze, I feel it coming first then I can hear it and then as it gets worse others can hear it. &#160;I was nowhere near that territory and frankly if I had not taken my peak flow this mornin I would have gone about my day without a thought of using Ventolin.    So I though to myself &quot;Wow, I never seen that in 40 years. &#160;I wonder if I also have some type of &#39;silent&quot; asthma - is there such a thing?&quot; &#160;Well I asked the Google and guess what - there is.    A few questinos:    1. Anyone know more in depth about this?  2. Any similar experiences?  3. &#160;Does it matter? I&#39;m pretty sensitive to my wheezing so if I&#39;m not thinking about Ventolin should I even bother with peak scores?    &#160; ","1. i dont know too much about the silent type since i was recently diagnosed but 
2. yes. i do not have wheezing with asthma. not even asthma attacks oddly enough.
3. you should probably bother with peak scores, if theyre too low it may mean you need to manage your asthma better.",neutral,neutral,
76,Side effects are killing me! Need advice..,/forums/discuss/side-effects-are-killing-me-need-advice--597027,3,Asthma,Side effects are killing me! Need advice..," I&#39;m not sure if there is a way to control the side effects I&#39;m experiencing from my medications, but if anyone has advice, I&#39;d love to hear it! I should mention: I&#39;m 17 years old, I&#39;ve been hospitalised 4 times this year because of asthma, twice in the ICU on bi-pap. So I don&#39;t have the opportunity of asking my doctor to go off any of the medications, I&#39;m just wondering if anyone has techniques they&#39;ve leant to control/deal with side effects.  So I&#39;m not sure which of my side effects correlate to which medication I&#39;m on, but I&#39;ll list both the effects I&#39;m experiencing and the meds I&#39;m on.  &gt;Side effects:   •severe hand trembling  •sleeplessness (at night only)  •itching all over back, jaw and limbs  •lost/hoarse voice  •sudden muscle cramping (especially in hands and feet)  •eye sensitivity to light  •heavy fatigue (I refuse to drive because I will randomly fall asleep throughout the day for varying lengths of time)  •prednisolone has made my blood-glucose go crazyy (I&#39;m not diabetic but I cannot seem to lower my blood-sugar levels anymore.. Not quite sure what to do about this)  &gt;The medications I&#39;m on daily is:  ~spiriva   ~symbicort 200/6 (2 puffs twice a day)  ~10mg of prednisolone daily  ~ventolin (my tremors are not from the ventolin as I usually use the symbicort in place of ventolin as well)  ~montelukast 10mg  ~Zyertec   ~Esomeprazole 40mg  ~Lexapro 20mg     Thanks in advance for any advice, I&#39;m being driven up an emotional wall with some of these side effects, as insignificant as they may seem in comparison to what others experience on the same medication. "," Whow gabby ,  You seem to be going through the mill at the moment that&#39;s a lot of side effects .  You really must take the time to go and see your doctor and tell him exactly what is happening you might want to write a list for him or her and ask for help  that&#39;s the best advise I can offer hope you&#39;re soon better regards  ",positive,neutral,
79,Fear of an attack,/forums/discuss/fear-of-an-attack-399905,9,Asthma,Fear of an attack,"Since being diagnosed with anxiety/panic attacks and asthma last year, I live in fear of an attack.

I think it's due to not being 100% certain of the signs and symptoms of an asthma attack compared to that of a panic attack - is anyone able to help?
Also if it is asthma and I don't have an inhaler with me will I die?

My life has changed so much and I just want to go back to being 'normal' and knowing how to cope.
I wake up every morning dreading the day ahead and its impacted so much on my personal and working life.
I feel like I'm losing everything - my self, my confidence, my relationships with family and friends, my job etc


","Having had asthma all my life and also experiencing servere anxiety for a few years, I know the signs and symptoms can be very similiar, but a few things to consider:

- what came first? the asthma, or the panic? If you notice your chest is tight (or you are wheezing for example) and [b][i]then[/i][/b] you start to panic, it's likely that your asthma is playing up. If you start to panic for no reason and then notice asthma-like symptoms, it could be caused by anxiety.

- is there any wheezing present? if so, it's probably asthma. If not then the unpleasent sensations could be due to hyperventilation which is basically caused by [b]overbreathing[/b] too much oxygen (VERY common in people with anxiety). Research it.

- it's possible to experience asthma symptoms and remain calm (but asthma it's self can lead to feeling very anxious, which confuses things)

- have you ever had a full blown asthma attack? Being diagnosed with asthma doesn't mean you are guranteed to experience one

- in my experience panic attacks last longer and are more fightening. Also if it's an asthma attack, using the reliever usually helps within about 10-15mins and everything calms down after then.

Judging from your comments, your problem here is the anxiety (dreading the day ahead, losing confidence, wanting to be normal etc). Are you getting help with this?

And yes, an asthma attack could potenially kill you. But it depends on how severe your asthma is. 


 ",negative,neutral,
87,Chest infection,/forums/discuss/chest-infection-325101,3,Asthma,Chest infection,"Hi to all,

I went bk to Docs and asked him for steroids for chest infection 6th week this week he said no because i am diabetic and my bs is high so hes given me clarithromycin
for another week which i am not happy about i wanted this
gone before xmas.

I would have rather had steriods that keep this anyday.


If not gone for after xmas xray. I do have asthma.
But this is lingering for far too long as far as i am concerned.

Dolphin500
",I would ask your GP for a chest X-ray irene.,negative,negative,
88,"                    I have been diagnosed  with mild asthma, what are some of symptoms of an attack  (                ",/forums/discuss/i-have-been-diagnosed-with-mild-asthma-what-are-some-of-symptoms-of-an-attack--503689,3,Asthma,"I have been diagnosed with mild asthma, what are some of symptoms of an attack (","Hello, recently I was diagnosed with mild asthma. 
I thought I had it under control, until last night when vacuuming the carpets I suddenly couldn't swallow
can that be my first asthma attack? ","Hello Lola, it could be. I have had asthma a long time and have experienced similar symptoms. The thing I try and do if this starts is to sit and try and relax and take an antihistamine as these can sometimes help with allergy-related wheezing. I'd recommend seeing your GP to find a suitable antihistamine.",neutral,positive,
